PWNETWPG,PAGEMIEG,PATTCRU,PATTSITC,PATTSKP,PEDUCMIE,PEFATINC,PFMTYPG,PFTENUR,PLFFPTME,PNBEARG,PPVRES,PWAPRVAL,PWASTDEP,PWATFS,PWDPRMOR,PWDSLOAN,PWDSTCRD,PWDSTLOC,DTI,Liquidity,Behavior Score,FSI
3713000.0,6,4,3,2,4,115525,4,1,3,2,35,1000000,16000,90000,0,0,0,0,0.0,0.917550313784895,0,0.367020125513958
1740900.0,7,4,3,2,9,121300,2,1,3,9,47,625000,2900,15500,0,0,0,145000,1.195383347073372,0.15169002473206925,0,0.7779060181368509
3672500.0,5,4,3,2,4,19175,2,1,3,0,48,875000,5000,50000,0,0,0,40000,2.0860495436766624,2.8683181225554106,0,2.3989569752281614
2809050.0,6,3,3,2,4,147425,2,2,2,2,35,500000,1050,11500,180000,0,18500,10000,1.4142784466677971,0.08512803120230626,0,0.8826182804816007
471900.0,4,4,3,2,3,56750,1,3,1,1,35,0,0,0,0,0,0,0,0.0,0.0,0,0.0
240475.0,3,3,2,1,4,107700,2,3,1,2,12,0,35000,45000,0,12000,9000,0,0.19498607242339833,0.7428040854224698,1,0.4141132776230269
258000.0,5,3,2,2,3,17125,1,1,3,0,59,105000,10000,0,0,0,0,0,0.0,0.583941605839416,0,0.23357664233576642
-225.0,3,3,2,2,4,63200,3,3,1,1,35,0,225,0,0,0,3400,0,0.05379746835443038,0.003560126582278481,0,0.03370253164556962
351600.0,6,3,3,2,3,41550,1,2,3,0,48,290000,50000,2100,200000,0,17500,0,5.234657039711191,1.253910950661853,0,3.6423586040914557
1317250.0,6,4,3,2,4,76225,2,1,2,1,47,220000,15000,6000,0,0,0,0,0.0,0.2755001639881928,0,0.11020006559527713
502800.0,6,3,2,2,9,95350,4,2,3,1,12,300000,31000,0,50000,0,0,0,0.5243838489774515,0.3251179863660199,0,0.44467750393287886
1675275.0,5,4,3,2,4,63700,1,1,3,1,35,600000,43000,70000,0,0,0,225,0.003532182103610675,1.7739403453689169,0,0.7116954474097332
1387500.0,4,4,2,2,4,163900,3,2,1,2,24,700000,2000,62500,220000,0,0,0,1.342281879194631,0.39353264185478953,0,0.9627821842586944
3233500.0,5,4,3,2,3,133900,4,1,1,2,35,875000,250000,110000,0,0,0,0,0.0,2.68857356235997,0,1.075429424943988
1628650.0,6,4,3,2,4,96900,1,2,1,1,24,675000,60000,40000,100000,0,1850,0,1.0510835913312693,1.0319917440660475,0,1.0434468524251805
685255.0,3,4,2,2,2,151675,3,2,1,3,48,360000,39000,67500,230000,0,0,0,1.5164001977913302,0.7021592220207681,0,1.1907038074831053
2748100.0,4,4,1,2,4,278075,3,1,1,3,48,675000,300000,175000,0,0,0,0,0.0,1.7081722556864156,0,0.6832689022745663
5775.0,4,6,3,2,2,20875,1,3,2,9,10,0,475,0,0,0,0,0,0.0,0.022754491017964073,0,0.00910179640718563
574600.0,2,3,3,2,4,96350,9,2,1,2,59,525000,4100,15000,400000,0,15500,0,4.31240269849507,0.19823559937727037,0,2.66673585884795
542000.0,6,4,3,2,3,42500,2,1,2,1,48,185000,95000,0,0,0,0,0,0.0,2.235294117647059,0,0.8941176470588236
501900.0,6,4,3,2,3,37150,2,1,3,0,13,310000,4400,0,0,0,0,0,0.0,0.11843876177658143,0,0.04737550471063257
34100.0,6,4,3,2,1,37375,1,3,3,0,48,0,4100,0,0,0,0,0,0.0,0.1096989966555184,0,0.043879598662207364
1254500.0,6,4,3,2,2,52000,2,1,3,0,59,725000,5000,87500,0,0,0,0,0.0,1.7788461538461537,0,0.7115384615384616
2986505.0,5,4,3,2,3,128200,2,1,1,1,35,1350000,2000,13500,0,0,40000,0,0.31201248049922,0.12090483619344773,0,0.2355694227769111
2507000.0,7,4,3,2,4,125900,9,1,3,0,11,1000000,80000,320000,0,0,0,0,0.0,3.177124702144559,0,1.2708498808578237
2119600.0,6,4,3,2,4,192375,4,2,1,2,35,1200000,480000,0,45000,0,3900,0,0.2541910331384016,2.4951267056530213,0,1.1505653021442495
78750.0,7,4,3,2,2,33925,1,3,3,0,35,0,1500,0,0,0,0,0,0.0,0.04421518054532056,0,0.017686072218128224
2584500.0,6,4,2,2,4,92750,2,2,3,2,59,3000000,120000,0,800000,0,9500,0,8.727762803234501,1.2938005390835579,0,5.754177897574124
972500.0,6,3,3,2,4,74500,2,1,3,1,48,460000,60000,55000,0,0,11500,23000,0.46308724832214765,1.5436241610738255,0,0.8953020134228188
195000.0,7,4,3,2,1,28425,1,1,3,0,47,80000,0,0,0,0,0,0,0.0,0.0,0,0.0
2630000.0,7,6,3,2,2,153350,1,1,6,0,24,2100000,330000,0,0,0,0,0,0.0,2.15194000652103,0,0.8607760026084121
222900.0,3,4,2,2,2,74575,2,2,1,2,46,280000,2900,1500,120000,0,0,55000,2.3466309084813948,0.05900100569896078,0,1.4315789473684213
2016400.0,5,3,3,2,4,140250,2,2,1,2,10,300000,1900,105000,46000,0,5000,20000,0.5062388591800356,0.7622103386809269,0,0.6086274509803922
431500.0,4,4,2,2,4,79250,2,2,1,2,24,500000,5000,3000,210000,0,0,0,2.6498422712933754,0.10094637223974763,0,1.630283911671924
1853100.0,6,4,3,2,3,92375,2,1,3,0,24,750000,2100,0,0,0,0,0,0.0,0.02273342354533153,0,0.009093369418132612
931500.0,5,4,3,2,3,421925,2,2,1,2,48,625000,67500,80000,77500,0,0,0,0.18368193399300822,0.34958819695443505,0,0.25004443917757896
139400.0,6,4,3,2,1,23000,1,1,6,0,13,44000,50000,0,0,0,0,0,0.0,2.1739130434782608,0,0.8695652173913043
322525.0,3,6,3,1,3,121950,3,2,1,2,10,500000,700,0,350000,0,525,0,2.8743337433374334,0.005740057400574006,1,1.7268962689626897
586000.0,2,3,1,1,4,47550,1,3,1,1,24,0,0,0,0,0,10500,19000,0.6203995793901157,0.0,1,0.3722397476340694
500000.0,4,6,3,2,3,24000,3,3,3,0,48,0,0,0,0,0,0,0,0.0,0.0,0,0.0
1812405.0,4,4,3,2,4,74000,2,1,2,1,47,380000,5,8000,0,0,4100,7500,0.15675675675675677,0.10817567567567568,0,0.13732432432432434
1589500.0,6,4,3,2,3,60575,1,1,3,0,47,410000,300000,82500,0,0,0,0,0.0,6.3144861741642595,0,2.525794469665704
495500.0,6,6,3,2,1,90350,2,1,3,1,24,260000,11500,41000,0,0,0,0,0.0,0.5810736026563365,0,0.2324294410625346
1568500.0,6,4,3,2,4,83725,1,1,3,0,35,320000,21000,110000,0,0,0,75000,0.8957897879964168,1.5646461630337414,0,1.1633323380113467
259500.0,7,4,3,2,1,28075,1,1,3,0,48,175000,20000,0,0,0,0,0,0.0,0.7123775601068566,0,0.28495102404274264
2228300.0,5,4,3,2,4,113875,2,2,3,1,24,600000,550,55000,160000,0,6250,25000,1.6794731064763995,0.48781558726673985,0,1.2028100987925356
539000.0,5,3,3,2,1,46150,2,2,2,2,35,600000,3900,14500,150000,0,1000,0,3.2719393282773566,0.39869989165763814,0,2.122643553629469
837350.0,6,4,3,2,2,35250,1,1,3,0,24,150000,600000,425,0,0,0,0,0.0,17.033333333333335,0,6.813333333333334
301450.0,6,2,2,2,3,66450,2,2,1,2,46,460000,1050,0,270000,0,100,0,4.064710308502634,0.01580135440180587,0,2.4451467268623026
